family,scope,metric,a,b,win,loss,tie,n_nonzero,W,p_raw,p_holm,r,testable
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk200_hybrid,0,1,10,1,0.0,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_bm25,0,2,9,2,0.0,0.5,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_dense,0,2,9,2,0.0,0.5,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_bm25,chunk500_hybrid,0,2,9,2,0.0,0.5,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk200_hybrid,0,2,9,2,0.0,0.5,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_bm25,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_dense,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_dense,chunk500_hybrid,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_bm25,1,2,8,3,2.0,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_dense,0,1,10,1,0.0,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk200_hybrid,chunk500_hybrid,0,1,10,1,0.0,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_dense,1,1,9,2,1.5,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk500_bm25,chunk500_hybrid,1,1,9,2,1.5,1.0,1.0,,True
Family 2,comparative,anchor_coverage_at_5,chunk500_dense,chunk500_hybrid,0,0,11,0,,,,,False
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_dense,2,0,9,2,0.0,0.5,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk200_hybrid,1,1,9,2,1.0,1.0,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_bm25,1,2,8,3,1.0,0.5,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_dense,1,3,7,4,2.5,0.5,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_bm25,chunk500_hybrid,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk200_hybrid,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_bm25,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_dense,0,4,7,4,0.0,0.125,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_dense,chunk500_hybrid,0,4,7,4,0.0,0.125,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_bm25,2,3,6,5,3.5,0.375,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_dense,0,3,8,3,0.0,0.25,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk200_hybrid,chunk500_hybrid,1,3,7,4,1.0,0.25,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_dense,2,3,6,5,5.0,0.6875,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_bm25,chunk500_hybrid,1,3,7,4,2.0,0.375,1.0,,True
Family 2,comparative,mean_reciprocal_rank_at_5,chunk500_dense,chunk500_hybrid,1,1,9,2,1.0,1.0,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,2,12,26,14,16.5,0.020756931750639907,0.2490831810076789,-0.6039979400722664,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,1,9,30,10,7.5,0.036414984519271706,0.3641498451927171,-0.6446583712203042,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,5,3,32,8,14.0,0.5637028616507731,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,2,10,28,12,18.0,0.08955507441364255,0.7164405953091404,-0.47555635434073024,True
Family 3,pooled,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,2,9,29,11,12.5,0.060886840039593826,0.5479815603563445,-0.5495563820318893,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,4,3,33,7,10.0,0.4697988825336007,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,12,1,27,13,4.5,0.0034052358212947604,0.051078537319421406,-0.7946945329937599,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,4,2,34,6,7.0,0.45035134358487394,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,5,3,32,8,12.0,0.3883232289789247,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,11,1,28,12,3.5,0.0044314325694077925,0.0620400559717091,-0.8039166942426631,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,4,4,32,8,14.0,0.5580088344574561,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,5,4,31,9,16.0,0.41741292343058733,1.0,,True
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,2,11,27,13,13.5,0.021381691163120643,0.2490831810076789,-0.6202493916048858,True
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,0,9,31,9,0.0,0.00616989932054416,0.08020869116707408,,True
Family 3,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,3,3,34,6,9.0,0.7477301646241347,1.0,,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,6,16,18,22,78.5,0.11839559287338726,0.9471647429870981,-0.3322415946008208,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,2,14,24,16,15.5,0.0065248215971748565,0.07829785916609827,-0.6786775931184627,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,7,6,27,13,29.0,0.24828546343650038,1.0,-0.31981609254626925,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,3,14,23,17,30.0,0.026917072925542494,0.26917072925542496,-0.5338747457894917,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,4,14,22,18,42.0,0.05757133578815882,0.5181420220934294,-0.4465239009509303,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,7,11,22,18,64.5,0.35996803730808224,1.0,-0.21556326252803534,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,16,4,20,20,32.5,0.006681913953202974,0.07829785916609827,-0.6052183065690195,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_dense_enriched,7,11,22,18,60.0,0.2664285829701688,1.0,-0.26175539021261435,True
