family,scope,metric,a,b,n,n_nonzero,size_only,p_raw,p_min_attainable,attainable_below_05
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,40,6,True,0.45035134358487394,0.0235441,True
Family 3,pooled,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,40,8,False,0.3883232289789247,0.00965387,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,40,12,False,0.0044314325694077925,0.00177046,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,40,8,False,0.5580088344574561,0.00838632,True
Family 3,pooled,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,40,9,True,0.41741292343058733,0.00500017,True
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,40,13,False,0.021381691163120643,0.00106795,True
Family 3,pooled,anchor_coverage_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,40,9,False,0.00616989932054416,0.0061699,True
Family 3,pooled,anchor_coverage_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,40,6,False,0.7477301646241347,0.0243579,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,40,22,False,0.11839559287338726,3.86647e-05,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,40,16,False,0.0065248215971748565,0.000426259,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,40,13,True,0.24828546343650038,0.00145412,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,40,17,False,0.026917072925542494,0.000272343,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,40,18,False,0.05757133578815882,0.000189653,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,40,18,False,0.35996803730808224,0.000193702,True
